Issue ID,Reported Date,Bug Summary,Description,Build Ver,Severity,Issue Status,Device,OS Ver,Type,Tags,Tester,Assignee,Jira Url,Actual start,Environment,Approver,Jira Issue
JIR12,4/8/2022 7:48,"Number of invites is not restricted to 8, more than 8 members can be invited","In a scenario where total team members in a team are 7 and 1 invitation pending, if more that 1 member is invited it is not throwing an error messageSteps to Reproduce1. click on manage ,go to teams2.Click on add member, now add more that one mail id and click on invite",v1.1,HIGH,Fixed,Android Device,Android 11,BUG,Functional,Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-45,4/11/2022,Stage,Avinash,https://navyashreeg.atlassian.net/browse/SCS-49
JIR8,4/8/2022 7:48,Unable to link the issues after updating the Jira issue linking field name.,"Observation:&nbsp;When the admin changes the Jira issue field name to some other name, the linked issue will convert to the normal text.&nbsp;Please find the attached video for more details.",v1.1,CRITICAL,Released,Android Device,Android 11,BUG,"Functional,UX,UI,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-46,4/8/2022,Live,Bhavani,https://navyashreeg.atlassian.net/browse/SCS-49
JIR3,3/31/2022 12:17,"When a user logs in using a sharable link of Sprint, the issues are not synced.",Observation:1. Try to log in by using the sprints sharable link.2. Sync the issue from the issue list page.3. Error toaster message appears “There was an error processing your request”&nbsp;,v1.1,CRITICAL,New,Android Device,Android 11,BUG,"Functional,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-31,4/8/2022,Stage,Avinash,https://navyashreeg.atlassian.net/browse/SCS-47
JIR10,4/8/2022 7:48,The issue list cluttered when there are more issues.,,v1.1,HIGH,In Progress,Android Device,Android 11,BUG,"Functional,UI,UX,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-43,4/9/2022,Stage,Avinash,https://navyashreeg.atlassian.net/browse/SCS-48
JIR11,4/8/2022 7:48,The Project details tab selected as default.,"Observation:&nbsp;After selecting the integration tab refresh the page, default project details will be selected.&nbsp;Please find the video attached for more details.",v1.1,MEDIUM,In Progress,Android Device,Android 11,BUG,"Functional,UX,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-44,4/11/2022,Live,Bhavani,https://navyashreeg.atlassian.net/browse/SCS-44
JIR9,4/8/2022 7:48,"When a user logs in using a sharable link of Sprint, the issues are not synced.",Observation:1. Try to log in by using the sprints sharable link.2. Sync the issue from the issue list page.3. Error toaster message appears “There was an error processing your request”&nbsp;,v1.1,HIGH,New,Android Device,Android 11,BUG,"Functional,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-49,4/8/2022,Live,Bhavani,https://navyashreeg.atlassian.net/browse/SCS-49
JIR7,4/8/2022 7:48,In mobile view linking issues with Jira is not available but Jira issues filter is available,,v1.1,HIGH,New,Android Device,Android 11,BUG,"Functional,UX,JIRA,Performance",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-48,4/8/2022,Stage,Bhavani,https://navyashreeg.atlassian.net/browse/SCS-46
JIR6,3/31/2022 12:17,The issue list cluttered when there are more issues.,,v1.1,HIGH,New,Android Device,Android 11,BUG,"Functional,UI,UX,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-47,4/9/2022,Live,Bhavani,https://navyashreeg.atlassian.net/browse/SCS-47
JIR2,3/31/2022 12:17,Unable to link the issues after updating the Jira issue linking field name.,"Observation:&nbsp;When the admin changes the Jira issue field name to some other name, the linked issue will convert to the normal text.&nbsp;Please find the attached video for more details.",v1.1,CRITICAL,In Progress,Android Device,Android 11,BUG,"Functional,UX,UI,JIRA",Navyashree G,Navyashree G,https://navyashreeg.atlassian.net/browse/SCS-30,4/8/2022,Stage,Avinash,https://navyashreeg.atlassian.net/browse/SCS-49
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
